Year,Rainfall
1900,381.964
1901,557.515
1902,293.138
1903,788.695
1904,617.646
1905,419.613
1906,835.794
1907,671.786
1908,649.715
1909,658.207
1910,821.048
1911,716.226
1912,511.719
1913,719.153
1914,599.022
1915,367.832
1916,766.465
1917,832.275
1918,656.706
1919,391.644
1920,755.678
1921,785.475
1922,540.397
1923,409.459
1924,736.992
1925,589.511
1926,409.198
1927,623.303
1928,552.949
1929,567.315
1930,666.209
1931,520.56
1932,433.834
1933,709.803
1934,574.862
1935,416.486
1936,692.253
1937,497.996
1938,522.447
1939,681.712
1940,684.19
1941,706.254
1942,636.91
1943,514.652
1944,583.404
1945,534.356
1946,478.9
1947,674.752
1948,450.375
1949,712.993
1950,1119.7
1951,475.105
1952,505.144
1953,590.715
1954,809.722
1955,837.1
1956,1050.26
1957,521.263
1958,617.179
1959,629.714
1960,541.536
1961,459.8
1962,611.347
1963,638.314
1964,641.725
1965,433.212
1966,444.365
1967,566.817
1968,651.773
1969,444.545
1970,543.552
1971,746.992
1972,585.198
1973,905.436
1974,1038.43
1975,804.997
1976,799.357
1977,707.255
1978,647.914
1979,667.836
1980,506.746
1981,814.053
1982,438.732
1983,677.042
1984,722.609
1985,571.441
1986,488.876
1987,572.157
1988,576.743
1989,725.561
1990,621.182
1991,715.58
1992,521.284
1993,510.607
1994,440.026
1995,616.395
1996,632.296
1997,688.897
1998,795.245
1999,787.489
2000,896.747
2001,516.187
2002,393.522
2003,533.435
2004,616.242
2005,483.422
2006,618.744
2007,692.471
2008,687.433
2009,712.615
2010,1150.98
2011,847.177
2012,687.954
2013,505.244
2014,580.125
2015,503.256
2016,649.279
2017,
